序号,昵称,"Week24
6.7～6.14","Week23
5.31～6.7","Week22
5.24～5.31","Week21
5.17~5.24","Week20
5.10～5.17","Week19
5.3～5.10","Week18
4.26～5.3","Week17
4.19～4.26","Week16
4.13～4.19","Week15
4.5～4.12","Week14
3.29～4.5","Week13
3.22～3.29","Week12
3.15～3.22","Week11
3.8～3.15","Week10
3.1～3.8","Week9
2.22～3.1","Week8
2.15～2.22","Week7
2.8～2.15","Week6
2.1～2.8","Week5
1.25～2.1","Week4
1.18～1.25","Week3
1.11～1.18","Week2
2026.1.4-2026.1.11","Week1
2025.12.28-2026.1.4","Week52
2025.12.21-12.28","Week51
2025.12.14-12.21","Week50
2025.12.7-12.14","Week49
2025.11.30-12.7","Week48
2025.11.23-11.30","Week47 
2025.11.16-11.23（20:00）",
,周总分享本数,84,82,72,86,80,104,74,69,75,98,92,62,85,72,81,73,67,53,78,60,65,75,65,66,,,,,,,
,周总打卡人数,61,58,60,71,63,76,61,57,58,70,69,46,67,60,66,55,58,47,62,54,55,57,55,53,,,,,,,
1,梅梅,"《Indian Textiles in the East》
 《机械复制时代的艺术》
 《fetish》
",,"《艺术特征论》
《80后摩梭女达布口述生活史》",《记忆的性别》,,"《材料与谱系》
《秧歌》
《山中的乡土》",《第八日的蝉》,"《紫丁香冷的街道》
《癌症楼》","《浮岛》
《卡拉马佐夫兄弟》
《迷失》",《战争，战争，战争》,《呼啸山庄》,"《三个折不断的女人》
《西南中国纪行》
《在德黑兰读洛丽塔》","《二十世纪西方艺术社会学精粹》
《面料的隐喻性》《家屋与家先》
《被冻住的女人》《另一个女孩》","《东亚服饰文化交流研究》
《中华传统服饰文化翻译协调美》
《中国贵州省施洞苗族围腰之研究》","《女性艺术：女性主义作为方式》
《服饰礼仪》
《中国彝族传统服饰图典》",,"《一场对谈》
《茶马古道》",,《莉莉亚娜不可战胜的夏天》,"《天真的人类学家》
《我是寨子里长大的女孩》",《长征》,"《肖像画的凝视》
《小团圆》
《张爱玲传》
《易经》",,《哈尼族文化初探》,《中国电影中水影像的文化书写》,《雪山之书》,"《历史与阶级意识》
《油炸绿番茄》
《白鹤亮翅》
《逃离》","《藏彝走廊：文化多样性、族际互动与发展》
《民族服饰：一种文化符号：中国西南少数民族服饰文化研究》
《旅游影响下的阿细女性》","《守望传统：在田野寻找人文》
《信》
《云海中的奇婚女性》
《伍尔夫的阅读课》
《午夜北平：民国奇案1937》
《归程：藏彝走廊尔苏藏族神话民族志》","《勒索 勒索》
《删除咒骂》
《梁庄在中国》
《雷峰塔》 
《大众文化的女性主义指南》",
2,小胖雀儿,《世界坟墓里的安娜·尹》,"《最后的故事》
《不吠》
《房思琪的初恋乐园》",《The Ungrateful Refugee》,《Scattered All Over the Earth》,《蛇结》,"《和爱迪做个了断》
《一个女性的抗争与蜕变》
《谁杀了我的父亲》
《地球星人》
《父权制应激障碍》",《吃佛》,《相片之用》,《驼背》,《长女病》,"《爱的荒漠》
《网路性猎场》
《收留》
《竹林姐妹》",《台湾漫游录》,"《友尽》
《小碎肉末》
《进烤箱的好日子》",《奇想之年》,"《Women without men》
《冬奥简史》
《谁来决定吃什么》","《塔尔奎尼亚的小马》
《不止文静》
《政治中的谎言》
《锌皮娃娃兵》
《Same River Twice》","《水随天去》
《赤脚医生》
《呼啸山庄》","《相遇》
《击壤歌》","《长征》
《此生，你我皆短暂灿烂》
《野火集》
《逃走的人》","《黄色墙纸》
《太阳的阴影》","《我选择独自一人》
《The Wedding People》","《阿加莎自传》
《The Correspondent》","《背德者》
《弃夫潜逃》
《我在北京送快递》",《Our Missing Heart》,"《幸福的陷阱》
《Things in Nature Merely Grow》
《看那些灯光，亲爱的》
《献灯使》
《小小小小的火》",《芭芭雅嘎下了个蛋》,"《大河移民上访的故事》
《哀悼乳房》","《独居日记》
《走夜路请放声歌唱》
《钟形罩》","《爱》
《与语言的漫步日记》","《豆汁记》
《泛若不系之舟》",
3,Key,《我是在寨子里长大的女孩 》,,《留情》,,《孤独的池塘》,《一篮云杉球果》,,《天色已晚》,《danny boy》,《占据》,《圣母》,,《蓝色天竺葵的诅咒》,《因思念而沉着》,《新手》,,《不上班的这几年》,《驼背》,,《屁屁保养指南》,,《囚徒健身》,《我爱你就像小狗陷在沙发里》,《倾城之恋》,《河流之齿》,《圣诞奇遇》,,《肉桂色铺子及其他故事》,《双生溺影》,《饺子》,
4,Mia,《自我关怀的力量》,《Girl That Invest》,《椰壳外的人生》,《摄影的灵感》,,《钟形罩》,"《原来我可以爱自己》
《挽救计划》",,《流俗地》,,"《她来劈开这山》
《老图片-南京旧影》
《明信片-南京旧影》
《南京味道》《南京城市史》",,《进烤箱的好日子》,《流俗地》,"《人与自然》
《印尼神迹：生命最好的礼物》",《中国国家人文地理·青岛》,《流俗地》,《北京深处》,,,《海边的房间》,,《原来我可以爱自己》,《血孩子》,,《窄门》,"《午夜北平：民国奇案一九三七》
《饺子》",《我已与一万亿株白桦相逢》,《我已与一万亿株白桦相逢》,"《我是寨子里长大的女孩》
《每周工作四小时》",
5,庭壹,《天真与经验》,《差异的政治学》,《哀愁的预感》,《母语之外的旅行》,"《记忆的性别》
《月光的合金》",《蒙马特遗书》,"《迷失》
《刺绣》
《模糊性的道德》",《和语言漫步的日记》,《制度与组织》,《乐之教养》,"《每天学点时间整理术》
《看见中国村镇》
《羞耻》
《美的情绪》","《论老年》
《被冻住的女人》",《民族、国家与暴力》,《进烤箱的好日子》,《民族、国家和暴力》,《我不想知道的事》,《爱玛》,"《小王子》
《被统治的艺术》",《不与天下州府同》,"《昂贵的和平》
《极简音乐史》","《女权主义在中国的翻译历程》
《马勒和1910年的世界》
《萧翁谈乐》
《激情精神》",《巴赫传》,《女性与社会权力系统》,《第二性》,"《布鲁克林有棵树》
《你好，忧愁》
《看那些灯光，亲爱的》","《看见》
《弱者的武器》",《娜拉在中国》,"《钟形罩》
《伟大指挥家》","《流俗地》
《巴黎评论·女性作家访谈》","《和小泽征尔共度的午后》
《运动场内外》
《情为何物》",
6,Jane Austen（移除）,,,,《移民路上的生与死》,,《隐谷路：一个精神分裂症家族的绝望与希望》,,"《边城》
《为奴隶的母亲》",,,,《天真的人类学家》,,"《吃掉那只青蛙》
《灿烂千阳》",,"《马可瓦尔多》
《她来自马里乌波尔》
《根西岛文学和土豆泥俱乐部》",,,"《世界上为什么要有图书馆》
《毫无意义的工作》
《要有光》",,,《天真的人类学家》,《要有光》,《寂静的孩子》,,,《幸得诸君慰平生》,《微尘》,,,
7,竹青,《简单致富》,《梁永安：阅读、游历和爱情》,《女人的出路》,《手机大脑》,《灵魂的劫数》,,《煤气灯效应》,,《小狗疑心大宇宙阴谋篡夺它的位置》,《我才不想做家务》,"《格外的活法》
《独树不成林》
《我的职校学生》",,《女人读书》,《道德浪女》,,《克林索尔的最后夏天》,《道德浪女》,《见书又见林》,《窄门》,,"《基层女性生存指北》
《家庭生活》","《小狗钱钱》
《我的灵魂骑在纸背上》",,,《我的灵魂骑在纸背上》,,《金榜题名之后》,,《人生的每一步都算数》,,
8,洗礼（移除）,,,,,,,,《一个女孩的记忆》,,"《婴幼儿及其照护者》
《竹林姐妹》",《羞耻》,,《赛斯资料》,,,《how to find confident in five minutes a day》,,,《有钱人和你想的不一样》,,《像水一样吧，朋友》,《the simple path to wealth》,,,《粉红色的柔软学习者》,,"《甜与权利》
《六朝文絜》",,《内证观察笔记——真图本中医解剖学纲目》,《洞察生命的实相》,
